Date,Close/Last,Volume,Open,High,Low
10/13/2022,90.43,21406360,84.37,92.095,83.485
10/12/2022,87.745,7606072,88.285,88.79,87.35
10/11/2022,88.275,16052568,89.445,90.035,87.0925
10/10/2022,91.15,13134618,94.135,94.195,90.05
10/07/2022,94.30,12253506,97.33,97.605,93.905
10/06/2022,100.28,8594750,100.67,102.355,99.98
10/05/2022,100.97,6730948,98.52,101.725,97.655
10/04/2022,99.98,10874206,98.82,100.305,98.50
10/03/2022,95.88,8538904,93.635,96.83,93.055
09/30/2022,92.56,6782542,92.83,95.31,92.555
09/29/2022,93.95,10499980,95.19,95.435,92.70
09/28/2022,97.005,9941320,94.86,97.435,94.505
09/27/2022,95.785,8243828,96.55,97.355,94.445
09/26/2022,95.065,5982778,96.20,97.445,94.90
09/23/2022,96.185,8751968,96.485,96.84,94.735
09/22/2022,97.58,11633348,99.845,100.05,97.245
09/21/2022,100.36,11149350,101.465,104.685,100.335
09/20/2022,101.205,5462776,101.60,102.125,100.58
09/19/2022,102.625,6698194,100.65,102.91,100.56
09/16/2022,101.955,8689942,100.50,102.0625,99.705
09/15/2022,101.50,9906240,102.745,103.66,100.785
09/14/2022,103.34,10439102,103.13,104.007,101.985
09/13/2022,102.23,9622090,104.91,105.765,101.945
09/12/2022,108.70,7184862,108.875,109.415,107.66
09/09/2022,108.43,8128292,107.335,108.74,107.14
09/08/2022,105.805,7830374,103.39,106.215,102.65
09/07/2022,104.39,7927362,102.98,105.18,102.245
09/06/2022,102.75,7472206,103.92,104.5148,102.09
09/02/2022,103.91,6884594,106.27,107.285,103.465
09/01/2022,104.94,13796414,104.52,105.095,102.08
08/31/2022,107.285,7843276,108.68,108.88,106.37
08/30/2022,108.02,8744918,110.38,110.52,106.875
08/29/2022,109.27,9062348,110.45,111.46,109.16
08/26/2022,111.335,9142564,117.635,117.795,111.315
08/25/2022,117.89,5456772,114.27,117.90,114.245
08/24/2022,114.06,4493408,113.91,114.515,112.8551
08/23/2022,114.135,4517204,113.40,115.54,113.365
08/22/2022,113.40,6987538,115.20,115.625,112.98
08/19/2022,117.495,6864340,119.36,119.785,117.10
08/18/2022,120.90,5241644,119.115,121.70,118.7001
08/17/2022,119.235,6676082,120.145,120.265,117.70
08/16/2022,121.85,4302216,122.60,122.955,120.53
08/15/2022,123.24,4506188,121.945,123.53,121.395
08/12/2022,122.685,5824954,119.995,122.8575,119.60
08/11/2022,119.315,8788904,120.175,122.495,119.06
08/10/2022,119.34,8435180,117.73,119.405,116.25
08/09/2022,114.695,13725920,117.13,117.2053,113.365
08/08/2022,119.705,8430518,120.275,121.325,118.03
08/05/2022,121.81,5279892,120.70,122.77,120.055
08/04/2022,122.645,5658702,121.29,122.87,120.92
08/03/2022,121.41,7424422,118.455,121.78,118.21
08/02/2022,118.575,6815694,117.47,120.355,116.99
08/01/2022,118.82,6570186,117.50,119.9075,116.825
07/29/2022,118.58,6415846,116.37,118.9235,115.765
07/28/2022,117.60,6426434,116.42,117.785,114.005
07/27/2022,116.18,9976694,112.75,116.935,112.71
07/26/2022,110.985,4261266,112.355,112.72,110.65
07/25/2022,112.685,6005284,112.67,112.95,111.135
07/22/2022,113.385,11208960,115.62,115.80,112.55
07/21/2022,116.01,8359634,114.58,116.07,113.14
07/20/2022,114.095,10183416,111.105,114.4899,110.4475
07/19/2022,111.47,9005174,108.405,111.86,108.19
07/18/2022,106.60,8425028,108.955,109.495,106.06
07/15/2022,107.395,7738206,106.255,107.4287,104.84
